Timestamp,PerConfig,Per100,GenerationIndex,CurrentFragmentIndex,CurrentSequenceNumber,RedundancyUsed,RedundancyMax,Success,Rank,MissedPackets,ReceivedPackets,IsRunning,FirstRowCrc8,LastRowCrc8,PrngStateBefore,PrngStateAfter
132961430281301220,0,0,25,39,2039,20,60,True,19,0,40,True,69,173,215561586,563019712
132961430282302813,0,0,25,40,2040,21,60,True,19,0,41,True,69,173,563019712,3771139738
132961430283294494,0,0,25,41,2041,22,60,True,19,0,42,True,69,173,3771139738,4123221981
132961430284294380,0,0,25,42,2042,23,60,True,19,0,43,True,69,173,4123221981,2644194349
132961430285291000,0,0,25,43,2043,24,60,True,19,0,44,True,69,173,2644194349,2624609862
132961430286281949,0,0,25,44,2044,25,60,True,19,0,45,True,69,173,2624609862,1453663946
132961430287279256,0,0,25,45,2045,26,60,True,19,0,46,True,69,173,1453663946,2037062409
132961430288273145,0,0,25,46,2046,27,60,True,19,0,47,True,69,173,2037062409,1312726596
132961430289272830,0,0,25,47,2047,28,60,True,19,0,48,True,69,173,1312726596,4149426704
132961430290266796,0,0,25,48,2048,29,60,True,19,0,49,True,69,173,4149426704,1352582626
132961430291262058,0,0,25,49,2049,30,60,True,19,0,50,True,69,173,1352582626,1467418432
132961430292259614,0,0,25,50,2050,31,60,True,19,0,51,True,69,173,1467418432,3968915427
132961430293254481,0,0,25,51,2051,32,60,True,19,0,52,True,69,173,3968915427,2899236837
132961430294251360,0,0,25,52,2052,33,60,True,19,0,53,True,69,173,2899236837,440900326
132961430295244668,0,0,25,53,2053,34,60,True,19,0,54,True,69,173,440900326,397136110
132961430296242253,0,0,25,54,2054,35,60,True,19,0,55,True,69,173,397136110,1099264884
132961430297239094,0,0,25,55,2055,36,60,True,19,0,56,True,69,173,1099264884,3481122616
132961430298237166,0,0,25,56,2056,37,60,True,19,0,57,True,69,173,3481122616,2845358264
132961430299240637,0,0,25,57,2057,38,60,True,19,0,58,True,69,173,2845358264,3576023063
132961430300231013,0,0,25,58,2058,39,60,True,19,0,59,True,69,173,3576023063,2178028202
132961430301223010,0,0,25,59,2059,40,60,True,19,0,60,True,69,173,2178028202,1869795403
132961430302220407,0,0,25,60,2060,41,60,True,19,0,61,True,69,173,1869795403,4218454308
132961430303220646,0,0,25,61,2061,42,60,True,19,0,62,True,69,173,4218454308,1966333053
132961430304211895,0,0,25,62,2062,43,60,True,19,0,63,True,69,173,1966333053,2673346386
132961430305208847,0,0,25,63,2063,44,60,True,19,0,64,True,69,173,2673346386,1080993208
132961430306205530,0,0,25,64,2064,45,60,True,19,0,65,True,69,173,1080993208,1545067174
132961430307202718,0,0,25,65,2065,46,60,True,19,0,66,True,69,173,1545067174,1176116501
132961430308194241,0,0,25,66,2066,47,60,True,19,0,67,True,69,173,1176116501,3147594113
132961430309192117,0,0,25,67,2067,48,60,True,19,0,68,True,69,173,3147594113,838425705
132961430310189252,0,0,25,68,2068,49,60,True,19,0,69,True,69,173,838425705,2969125162
132961430311183025,0,0,25,69,2069,50,60,True,19,0,70,True,69,173,2969125162,1195896661
132961430312180657,0,0,25,70,2070,51,60,True,19,0,71,True,69,173,1195896661,2718610827
132961430313176016,0,0,25,71,2071,52,60,True,19,0,72,True,69,173,2718610827,2915088683
132961430314171893,0,0,25,72,2072,53,60,True,19,0,73,True,69,173,2915088683,310986437
132961430315169428,0,0,25,73,2073,54,60,True,19,0,74,True,69,173,310986437,3008117910
132961430316166215,0,0,25,74,2074,55,60,True,19,0,75,True,69,173,3008117910,2154771538
132961430317161840,0,0,25,75,2075,56,60,True,19,0,76,True,69,173,2154771538,1275933156
132961430318163876,0,0,25,76,2076,57,60,True,19,0,77,True,69,173,1275933156,1897109160
132961430319152840,0,0,25,77,2077,58,60,True,19,0,78,True,69,173,1897109160,1968099412
132961430320150001,0,0,25,78,2078,59,60,True,19,0,79,True,69,173,1968099412,3080219370
132961430321144316,0,0,25,79,2079,60,60,True,19,0,80,True,69,173,3080219370,2997167950
132961430323140024,0,0,26,0,2080,-19,60,False,1,0,1,True,196,196,1,2525019014
132961430324119104,0,0,26,1,2081,-18,60,False,2,0,2,True,159,196,2525019014,2592004160
132961430325119046,0,0,26,2,2082,-17,60,False,3,0,3,True,125,196,2592004160,1988683261
132961430326113819,0,0,26,3,2083,-16,60,False,4,0,4,True,113,83,1988683261,2677848701
132961430327111956,0,0,26,4,2084,-15,60,False,5,0,5,True,137,93,2677848701,263841224
132961430328110719,0,0,26,5,2085,-14,60,False,6,0,6,True,240,38,263841224,3531698935
132961430329110625,0,0,26,6,2086,-13,60,False,7,0,7,True,150,234,3531698935,515086452
132961430330109300,0,0,26,7,2087,-12,60,False,8,0,8,True,220,42,515086452,1021539344
132961430331109421,0,0,26,8,2088,-11,60,False,9,0,9,True,39,75,1021539344,1534276539
132961430332100826,0,0,26,9,2089,-10,60,False,10,0,10,True,37,88,1534276539,4225193153
132961430333101455,0,0,26,10,2090,-9,60,False,11,0,11,True,114,53,4225193153,2680931039
132961430334095165,0,0,26,11,2091,-8,60,False,12,0,12,True,140,77,2680931039,3821198068
132961430335098244,0,0,26,12,2092,-7,60,False,13,0,13,True,229,184,3821198068,3333533055
132961430336094656,0,0,26,13,2093,-6,60,False,14,0,14,True,21,166,3333533055,3756345482
132961430337084738,0,0,26,14,2094,-5,60,False,15,0,15,True,47,175,3756345482,364380949
132961430338083902,0,0,26,15,2095,-4,60,False,16,0,16,True,37,211,364380949,3283420129
132961430339081306,0,0,26,16,2096,-3,60,False,17,0,17,True,194,140,3283420129,2109694035
132961430340080113,0,0,26,17,2097,-2,60,False,18,0,18,True,171,157,2109694035,1323037321
132961430341079652,0,0,26,18,2098,-1,60,False,19,0,19,True,243,29,1323037321,2932232616
132961430342070249,0,0,26,19,2099,0,60,True,19,0,20,True,164,96,2932232616,959586516
132961430343064531,0,0,26,20,2100,1,60,True,19,0,21,True,164,96,959586516,369227209
132961430344054691,0,0,26,21,2101,2,60,True,19,0,22,True,164,96,369227209,159028224
132961430345049882,0,0,26,22,2102,3,60,True,19,0,23,True,164,96,159028224,1188080670
132961430346044882,0,0,26,23,2103,4,60,True,19,0,24,True,164,96,1188080670,3414165203
132961430347041611,0,0,26,24,2104,5,60,True,19,0,25,True,164,96,3414165203,1215546913
